sitio	replica	estrato	taxa	abundance	body_mass	size_class
L	3	10	pupa_diptera	3	826.868142666667	meso
P	3	20	blattodea	1	800	macro
P	1	H	tarsonemidae	1	800	meso
P	1	H	trombidiidae	2	786.7846	meso
L	3	H	formicidae	3	770.569640396871	macro
P	2	10	ptilidae	1	734.845570727823	macro
P	1	10	larva_diptera	1	728.716198292417	meso
R	3	20	formicidae	1	724.653207475769	macro
R	2	10	enchytraeida	14	724.43738833184	meso
P	2	10	formicidae	2	665.59662973423	macro
P	2	H	formicidae	1	633.681222782799	macro
L	1	10	geophylomorpha	1	630.784426022534	macro
L	3	H	aphidoidea	14	596.759508055529	meso
L	1	10	cicadidae	1	593.944544209316	macro
L	3	H	cicadidae	1	545.941605029287	macro
P	2	10	terebrantia	1	544.525955581365	macro
L	1	10	formicidae	3	541.466667048731	macro
P	1	H	larva_diptera	12	481.151426545212	meso
P	1	10	veigaioidea	3	469.7541	meso
L	1	H	aphidoidea	4	461.143157987241	meso
P	1	10	larva_sciaridae	1	460.072058643738	meso
R	1	10	tardigrado	7	456.398032603141	meso
L	2	H	aphidoidea	1	430.430482576265	meso
P	1	10	formicidae	3	412.85860418858	macro
R	2	10	formicidae	2	388.559123054919	macro
P	1	H	thysanoptera	2	382.369353689459	meso
P	1	20	formicidae	2	377.10546006166	macro
P	3	H	aphidoidea	3	375.150000000752	meso
L	3	H	veigaioidea	5	369.2757	meso
P	3	H	formicidae	15	359.904387554656	macro
R	3	H	coleoptera_suctor	1	359.339746026144	macro
L	1	H	larva_diptera	25	353.715166863041	meso
P	1	H	aphidoidea	8	349.150314806012	meso
R	2	10	tardigrado	7	344.270259754017	meso
R	1	H	larva_sciaridae	4	333.032276074269	meso
R	3	Frag	coleoptera_suctor	1	331.904490354754	macro
P	3	10	formicidae	5	331.303554911637	macro
P	3	H	tardigrado	428	330.150528211533	meso
L	2	10	formicidae	3	325.497298647867	macro
P	3	10	thysanoptera	1	317.928230870699	meso
L	1	H	larva_sciaridae	15	317.092692528071	meso
P	2	H	tardigrado	7	310.675575667096	meso
R	1	H	tardigrado	36	310.471427613345	meso
L	3	H	blattodea	1	306.782942011396	macro
L	1	H	carabidae	1	285.55905328639	macro
P	3	H	larva_diptera	5	285.236187018798	meso
P	2	H	thysanoptera	6	285.160718663063	meso
P	2	10	tardigrado	3	285.063482244198	meso
R	1	H	veigaioidea	2	267.8313	meso
P	2	H	larva_diptera	5	265.45229656611	meso
R	3	10	larva_diptera	2	264.385027286216	meso
P	3	10	tardigrado	29	263.622131508779	meso
P	3	H	thysanoptera	5	260.075788023477	meso
P	3	Frag	coleoptera_suctor	1	245.322545535333	macro
R	3	H	tardigrado	5	242.998966749513	meso
P	1	H	tardigrado	107	234.448715869837	meso
L	2	H	thysanoptera	8	220.08610066151	meso
P	2	10	veigaioidea	2	218.2848	meso
R	3	H	larva_diptera	8	217.38347598149	meso
P	3	H	oripodidae	89	203.078321851068	meso
L	1	H	thysanoptera	10	199.839655329305	meso
L	2	20	entomobridae	1	195.614748944503	meso
R	1	20	entomobridae	1	195.614748944503	meso
R	1	20	isotomidae	11	186.015446877996	meso
R	2	H	tardigrado	57	183.960383681244	meso
R	1	H	thysanoptera	2	183.560050435934	meso
L	3	H	ologamasidae	3	171.776618391385	meso
P	1	H	juvenil	1	171.650701091054	macro
L	3	H	larva_diptera	7	170.616800479071	meso
R	3	H	entomobridae	5	169.880910268961	meso
P	1	H	galumnidae	2	169.034561746248	meso
R	3	H	veigaioidea	7	168.5679	meso
L	3	H	entomobridae	6	161.768158273753	meso
L	3	H	cunaxide	1	159.47734737133	meso
L	1	H	cunaxide	3	159.47734737133	meso
P	1	H	cunaxide	18	159.47734737133	meso
R	1	10	larva_sciaridae	1	158.173742866206	meso
L	1	H	ameroseidae	2	157.022943214129	meso
R	3	10	gasteropoda	3	146.700150915885	macro
P	1	10	tardigrado	4	145.403843066436	meso
L	1	H	cicadidae	2	143.420565017962	macro
L	3	H	mesostigmata	5	132.40345610099	meso
P	2	H	galumnidae	5	130.050565980397	meso
L	1	10	entomobridae	2	128.066307297539	meso
