".tail",".head"
"dermanyssoidea","oribatido"
"formicidae","oribatido"
"linyphiidae","oribatido"
"parasitoidea","oribatido"
"staphylinidae","oribatido"
"trombidioidea","oribatido"
"veigaioidea","oribatido"
"bdelloidea","oripodoidea"
"carabidae","oripodoidea"
"chylopoda","oripodoidea"
"dermanyssoidea","oripodoidea"
"formicidae","oripodoidea"
"linyphiidae","oripodoidea"
"parasitoidea","oripodoidea"
"staphylinidae","oripodoidea"
"trombidioidea","oripodoidea"
"veigaioidea","oripodoidea"
"bdelloidea","parasitoidea"
"carabidae","parasitoidea"
"chylopoda","parasitoidea"
"dermanyssoidea","parasitoidea"
"formicidae","parasitoidea"
"linyphiidae","parasitoidea"
"staphylinidae","parasitoidea"
"trombidioidea","parasitoidea"
"bdelloidea","pauropoda"
"carabidae","pauropoda"
"chylopoda","pauropoda"
"dermanyssoidea","pauropoda"
"formicidae","pauropoda"
"gryllotalpidae","pauropoda"
"linyphiidae","pauropoda"
"parasitoidea","pauropoda"
"rhodacaroidea","pauropoda"
"staphylinidae","pauropoda"
"trombidioidea","pauropoda"
"veigaioidea","pauropoda"
"formicidae","psocoptera"
"linyphiidae","psocoptera"
"formicidae","ptiliidae"
"linyphiidae","ptiliidae"
"bdelloidea","rhodacaroidea"
"carabidae","rhodacaroidea"
"chylopoda","rhodacaroidea"
"dermanyssoidea","rhodacaroidea"
"formicidae","rhodacaroidea"
"linyphiidae","rhodacaroidea"
"parasitoidea","rhodacaroidea"
"staphylinidae","rhodacaroidea"
"trombidioidea","rhodacaroidea"
"veigaioidea","rhodacaroidea"
"linyphiidae","scarabaeidae"
"carabidae","sciaridae"
"chylopoda","sciaridae"
"linyphiidae","sciaridae"
"carabidae","staphylinidae"
"chylopoda","staphylinidae"
"formicidae","staphylinidae"
"linyphiidae","staphylinidae"
"bdelloidea","symphila"
"carabidae","symphila"
"chylopoda","symphila"
"dermanyssoidea","symphila"
"formicidae","symphila"
"gryllotalpidae","symphila"
"linyphiidae","symphila"
"parasitoidea","symphila"
"rhodacaroidea","symphila"
"staphylinidae","symphila"
"trombidioidea","symphila"
"veigaioidea","symphila"
"bdelloidea","symphypleona"
"carabidae","symphypleona"
"chylopoda","symphypleona"
"dermanyssoidea","symphypleona"
"eupodoidea","symphypleona"
"formicidae","symphypleona"
"gryllotalpidae","symphypleona"
"linyphiidae","symphypleona"
"parasitoidea","symphypleona"
"rhodacaroidea","symphypleona"
"staphylinidae","symphypleona"
"trombidioidea","symphypleona"
"veigaioidea","symphypleona"
"carabidae","trombidioidea"
"chylopoda","trombidioidea"
"dermanyssoidea","trombidioidea"
"formicidae","trombidioidea"
"linyphiidae","trombidioidea"
"parasitoidea","trombidioidea"
"staphylinidae","trombidioidea"
"bdelloidea","tydeoidea"
"carabidae","tydeoidea"
"chylopoda","tydeoidea"
"dermanyssoidea","tydeoidea"
"formicidae","tydeoidea"
"linyphiidae","tydeoidea"
"parasitoidea","tydeoidea"
"staphylinidae","tydeoidea"
"trombidioidea","tydeoidea"
"veigaioidea","tydeoidea"
"bdelloidea","uropodoidea"
"carabidae","uropodoidea"
"chylopoda","uropodoidea"
"dermanyssoidea","uropodoidea"
"formicidae","uropodoidea"
"linyphiidae","uropodoidea"
"parasitoidea","uropodoidea"
"staphylinidae","uropodoidea"
"trombidioidea","uropodoidea"
"veigaioidea","uropodoidea"
"bdelloidea","veigaioidea"
"carabidae","veigaioidea"
"chylopoda","veigaioidea"
"dermanyssoidea","veigaioidea"
"formicidae","veigaioidea"
"linyphiidae","veigaioidea"
"parasitoidea","veigaioidea"
"staphylinidae","veigaioidea"
"trombidioidea","veigaioidea"
