"contraste" "valor estimado" "error estandar" "grados libertad" "razón t" "p.valor"
"26" "N detritivoro - G omnivoro" -0.268596780662694 0.224669283181121 1006 -1.19552070874842 0.403234611814974
"27" "N detritivoro - N omnivoro" 0.556709685745581 0.302148720564973 1006 1.84250221117805 0.144530854750139
"28" "N detritivoro - A predador" 0.392388520095706 0.242957893476842 1006 1.61504742439293 0.226984620577546
"29" "N detritivoro - G predador" 0.540161359526365 0.292655804410556 1006 1.84572235160111 0.144530854750139
"30" "N detritivoro - N predador" 0.158506620372011 0.277082044235448 1006 0.572056629686626 0.76049525535121
"31" "A microfitofago - G microfitofago" 0.240019003196427 0.195322767768117 1006 1.22883269543555 0.39140124231436
"32" "A microfitofago - N microfitofago" 0.133368723046137 0.200058043460509 1006 0.666650141824786 0.709357456159373
"33" "A microfitofago - A omnivoro" 0.196045296745361 0.222601820538964 1006 0.88069943125665 0.568688950528259
"34" "A microfitofago - G omnivoro" -0.572772665552368 0.203847686639483 1006 -2.80980704267374 0.0185284860594911
"35" "A microfitofago - N omnivoro" 0.252533800855906 0.287004254118646 1006 0.879895671342593 0.568688950528259
"36" "A microfitofago - A predador" 0.0882126352060308 0.223843987066561 1006 0.394080879107109 0.820658870494457
"37" "A microfitofago - G predador" 0.23598547463669 0.276992802069548 1006 0.851955259752339 0.578514475281302
"38" "A microfitofago - N predador" -0.145669264517664 0.260484263979314 1006 -0.559224815704154 0.76049525535121
"39" "G microfitofago - N microfitofago" -0.10665028015029 0.221236588768892 1006 -0.482064385207542 0.792390479855793
"40" "G microfitofago - A omnivoro" -0.0439737064510666 0.241813932526871 1006 -0.18184935000046 0.930615892727969
"41" "G microfitofago - G omnivoro" -0.812791668748796 0.22466928318112 1006 -3.61772493880951 0.00137270335319328
"42" "G microfitofago - N omnivoro" 0.0125147976594793 0.302148720564972 1006 0.0414193303088574 0.981846280148563
"43" "G microfitofago - A predador" -0.151806367990396 0.242957893476841 1006 -0.624825832237745 0.731812210210284
"44" "G microfitofago - G predador" -0.00403352855973713 0.292655804410556 1006 -0.0137824997794291 0.989006237095453
"45" "G microfitofago - N predador" -0.385688267714091 0.277082044235447 1006 -1.39196413386628 0.318820586715864
"46" "N microfitofago - A omnivoro" 0.0626765736992232 0.245654666368785 1006 0.255140985618938 0.908827237287694
"47" "N microfitofago - G omnivoro" -0.706141388598506 0.228797998133216 1006 -3.08630929623502 0.00808312569339638
"48" "N microfitofago - N omnivoro" 0.119165077809769 0.30523120168767 1006 0.390409227991396 0.820658870494457
"49" "N microfitofago - A predador" -0.0451560878401065 0.246780824107857 1006 -0.18298053750064 0.930615892727969
"50" "N microfitofago - G predador" 0.102616751590553 0.295837213683198 1006 0.346868976735434 0.843830029844006
"51" "N microfitofago - N predador" -0.279037987563801 0.280440183251871 1006 -0.995000018642798 0.502818671047341
"52" "A omnivoro - G omnivoro" -0.768817962297729 0.248750625534453 1006 -3.09071770431084 0.00808312569339638
"53" "A omnivoro - N omnivoro" 0.0564885041105459 0.320459726389625 1006 0.17627333314847 0.930615892727969
"54" "A omnivoro - A predador" -0.10783266153933 0.265384861854189 1006 -0.406325593652649 0.820658870494457
"55" "A omnivoro - G predador" 0.0399401778913295 0.311525290713053 1006 0.128208460378642 0.9559457345387
"56" "A omnivoro - N predador" -0.341714561263025 0.296942833111623 1006 -1.15077558088284 0.416746566148147
"57" "G omnivoro - N omnivoro" 0.825306466408275 0.307728362486659 1006 2.68193175220907 0.0227654657573396
"58" "G omnivoro - A predador" 0.660985300758399 0.249862829853452 1006 2.64539267863922 0.0227888297249161
"59" "G omnivoro - G predador" 0.808758140189058 0.298412995016739 1006 2.7101974568624 0.02256773425868
"60" "G omnivoro - N predador" 0.427103401034704 0.2831560611701 1006 1.50836750331165 0.263548936209656
"61" "N omnivoro - A predador" -0.164321165649876 0.321323818408015 1006 -0.511388064737927 0.788365562110557
"62" "N omnivoro - G predador" -0.0165483262192164 0.360371860900365 1006 -0.0459201397630533 0.981846280148563
"63" "N omnivoro - N predador" -0.398203065373571 0.347843236977948 1006 -1.14477736819938 0.416746566148147
"64" "A predador - G predador" 0.147772839430659 0.31241409506046 1006 0.47300311275028 0.792390479855793
"65" "A predador - N predador" -0.233881899723695 0.297875151993165 1006 -0.785167538006195 0.620601174161424
"66" "G predador - N predador" -0.381654739154354 0.339629928050277 1006 -1.12373706682839 0.420778439506405
