Sitio	replica	estrato	UnidadTaxonómica	Largo	Ancho	body_mass
L	3	10	oripodidae	715.086	444.567	22.9218889209652
R	3	Frag	galumnidae	659.515	477.398	22.8895261600119
P	1	humus	scheloribates	739.152	411.491	22.8596017033773
R	2	10	bacterivoro	5191.599	174.929	22.8175981590459
L	2	humus	isotomidae	1710.394	355.718	22.8038059642574
L	1	humus	oribatulidae	709.504	437.506	22.8026049979241
P	3	humus	dermanisoidea	644.495	709.196	22.7714903189253
P	1	humus	rhodacaroidea	860.094	345.724	22.7621190374951
L	3	10	oripodidae	682.739	489.481	22.7565629462741
L	1	humus	ceratozetoidea	720.764	432.609	22.7204225739313
P	1	Frag	scheloribates	669.795	509.571	22.6975478147432
R	1	Frag	ologamasidae	772.844	448.427	22.6470654402557
P	1	humus	carabidae	809.58	312.375	22.6164508764837
L	3	10	fungivoro	6486.02	155.769	22.6040108804353
R	3	Frag	oppioidea	761.516	378.766	22.5244496208331
R	3	humus	parasitidae	838.325	363.806	22.5186084728594
P	3	Frag	scheloribates	682.025	485.071	22.5165343016349
P	1	humus	ceratozetoidea	698.051	459.046	22.4548632842205
L	2	10	fungivoro	6480.471	155.301	22.4491672948128
L	3	Frag	hipogastruridae	1385.284	431.311	22.4348921597048
R	2	humus	oripodidae	691.731	468.041	22.4332835978034
P	1	Frag	ologamasidae	768.569	448.751	22.3996205842662
L	2	10	oripodidae	678.137	488.23	22.38381932952
L	3	10	oripodidae	671.726	497.042	22.3119318441827
P	2	Frag	scheloribates	718.736	426.638	22.2969469807619
R	3	Frag	galumnidae	636.146	488.472	22.2944905395764
L	1	humus	oribatulidae	669.227	460.283	22.2701886694239
P	1	Frag	onichiuridae	1822.374	309.591	22.2204655765904
R	3	Frag	ceratozetoidea	675.904	487.539	22.2007876528322
P	1	humus	scheloribates	743.142	393.026	22.1519447469422
R	3	humus	eviphididae	715.316	529.441	22.1506446059002
P	1	humus	ceratozetoidea	746.011	389.558	22.1477495176044
P	1	humus	oribatulidae	754.719	398.888	22.1443792376039
L	1	humus	oribatulidae	729.587	413.418	22.0389046818111
L	1	humus	oribatulidae	670.912	454.728	21.9841953108386
L	3	Frag	astigmata	718.115	436.818	21.9632504407872
P	3	humus	ceratozetoidea	711.989	428.707	21.9603111591987
L	2	humus	isotomidae	1686.752	429.006	21.9382726641628
R	3	Frag	isotomidae	1686.178	461.98	21.9175246592059
L	2	10	oripodidae	735.632	395.901	21.8341459433769
L	2	humus	isotomidae	1682.789	302.597	21.7952807297565
P	1	10	parasitidae	775.906	423.567	21.7667974360837
R	3	humus	ceratozetoidea	662.888	497.852	21.7356763222562
P	1	humus	oripodidae	687.072	459.046	21.7230582752898
L	3	10	omnivoro	7880.209	138.521	21.717715157485
R	3	Frag	scheloribates	761.724	363.576	21.6955468025666
L	2	humus	parasitidae	792.083	400.793	21.6951457195247
P	1	humus	isotomidae	1679.299	489.174	21.6698508242263
R	1	humus	oribatulidae	701.534	426.848	21.629250751524
R	3	Frag	galumnidae	636.567	477.226	21.6023601539491
P	1	humus	parasitidae	732.548	484.045	21.5918750868149
L	3	humus	ceratozetoidea	690.022	451.308	21.5746346819722
P	1	humus	isotomidae	1675.345	427.852	21.5283044107715
P	1	10	omnivoro	6304.236	154.049	21.4879700532067
L	1	humus	astigmata	833.22	371.037	21.4798209605264
L	1	humus	oripodidae	724.947	401.331	21.4465572497293
L	1	humus	scheloribates	696.686	437.873	21.4023415595495
R	3	Frag	oripodidae	680.126	460.672	21.3366473544767
P	3	Frag	oripodidae	656.054	499.411	21.3319111601915
P	1	Hoja	oripodidae	694.086	439.753	21.3205277315931
L	1	humus	oribatulidae	657.843	454.805	21.2996943677255
L	3	humus	trip	472.046	199.174	21.288023693641
P	1	humus	onichiuridae	1793.855	429.26	21.2772341299719
L	1	humus	oribatulidae	737.575	398.107	21.2767727630474
R	3	Frag	oppioidea	746.658	372.371	21.2760956060976
L	3	Frag	rhodacaroidea	807.381	372.729	21.2443432086534
R	3	Frag	galumnidae	617.374	487.84	21.2000392514602
L	1	humus	scheloribates	705.128	421.764	21.1960370810654
L	1	humus	oripodidae	704.894	421.908	21.1880641663561
L	2	10	oripodidae	694.721	434.519	21.1247676541444
P	1	humus	parasitidae	796.591	381.518	21.0636447192025
L	3	humus	ceratozetoidea	682.397	450.904	21.0618129135155
P	3	10	oripodidae	695.832	431.164	21.0431959583948
L	3	10	oripodidae	745.719	368.932	21.0378938992734
L	2	10	ceratozetoidea	671.967	465.746	21.0182179855968
L	1	humus	astigmata	727.297	418.767	20.9940819973982
L	3	Frag	hipogastruridae	1349.37	474.749	20.9813862382694
P	1	humus	parasitidae	705.067	513.334	20.9419179704369
L	1	humus	astigmata	713.639	425.66	20.9097268169916
L	3	10	oripodidae	659.117	482.769	20.8722497413286
L	1	humus	ceratozetoidea	701.766	419.259	20.8694293184549
P	3	humus	oripodidae	745.595	365.582	20.8529308066573
L	3	Frag	hipogastruridae	1346.029	418.145	20.8491696321246
P	2	humus	oripodidae	734.894	377.434	20.841634050548
P	2	Frag	oribatulidae	738.702	391.545	20.8388895101595
R	3	humus	ceratozetoidea	703.787	415.596	20.8245942260296
L	2	humus	hipogastruridae	1344.761	359.08	20.7991227931375
P	1	humus	parasitidae	723.344	477.375	20.7850870330091
R	3	Frag	galumnidae	750.432	383.606	20.7732246680254
P	3	Frag	oripodidae	687.576	434.694	20.680977587257
R	3	Frag	galumnidae	653.153	448.289	20.633147684673
P	1	10	rhodacaroidea	793.253	375.982	20.6247998990693
R	1	Frag	oripodidae	683.153	437.149	20.5110547648896
L	3	Frag	scheloribates	740.921	363.817	20.4882304466828
P	2	10	scheloribates	688.644	427.012	20.4069608150268
L	1	humus	oripodidae	678.19	441.212	20.3754112380386
L	3	humus	astigmata	710.156	420.443	20.3658784934523
R	3	humus	astigmata	850.421	350.909	20.3492107788225
P	1	humus	scheloribates	709.105	398.356	20.3374923875111
R	3	Frag	oppioidea	729.785	372.95	20.3129251968237
L	1	humus	astigmata	834.66	356.819	20.2868714680742
P	1	humus	oripodidae	733.894	367.762	20.2866734622083
L	1	Frag	entomobridae	1551.635	501.506	20.2756095041901
P	1	Frag	entomobridae	1551.332	488.073	20.2657125085365
P	2	Frag	oripodidae	732.718	368.069	20.2344882112812
P	2	Frag	scheloribates	680.489	434.431	20.2265802142529
P	3	Frag	oripodidae	680.697	433.861	20.2148060915139
L	1	humus	ceratozetoidea	772.996	325.981	20.2124642259899
P	2	Frag	oribatulidae	711.784	399.778	20.2027531482862
P	2	Frag	scheloribates	710.346	393.923	20.2006204805972
L	2	humus	isotomidae	1637.271	501.985	20.1955266592775
P	1	10	ceratozetoidea	695.362	413.035	20.1905737139238
P	2	humus	oripodidae	711.549	392.171	20.1883228839528
R	3	humus	parasitidae	728.229	453.269	20.1817131287361
R	3	Frag	galumnidae	665.878	431.455	20.1775791565926
P	1	humus	parasitidae	747.988	421.316	20.0719411403085
P	1	10	omnivoro	3322.504	205.08	20.0704583442143
P	1	humus	oripodidae	683.785	425.372	20.0353515866115
L	2	humus	isotomidae	1631.632	349.756	20.00275223389
P	3	Frag	scheloribates	659.357	460.572	19.9934984953619
L	3	10	oripodidae	703.254	398.102	19.9764938847176
L	3	Frag	bdelloidea	951.286	487.811	19.9584220571741
L	1	humus	isotomidae	1628.176	429.389	19.8851902115884
L	1	humus	oripodidae	692.824	409.041	19.8566080887249
R	2	humus	oribatulidae	649.272	438.993	19.8441196471579
P	1	humus	isotomidae	1626.089	563.081	19.8144119187471
L	3	10	oripodidae	671.726	437.166	19.8012557978014
L	2	humus	isotomidae	1624.133	297.487	19.7482229711169
P	1	humus	oripodidae	684.402	417.352	19.7209517126419
P	1	humus	ceratozetoidea	675.654	429.572	19.7200192999115
L	3	humus	astigmata	684.091	426.859	19.6842748344684
P	2	humus	astigmata	712.547	409.669	19.6737576115487
P	1	10	oripodidae	665.047	443.979	19.6729024247859
R	1	Frag	laelapidae	734.435	430.124	19.6580365527955
L	2	Frag	oripodidae	647.74	470.635	19.6554873170548
P	1	humus	ceratozetoidea	654.861	458.29	19.6187901094452
L	3	Frag	hipogastruridae	1313.614	288.777	19.5926332583162
L	2	10	hipogastruridae	1313.043	419.467	19.5709234987726
P	2	Frag	eviphididae	700.619	480	19.5334407635376
L	3	humus	trip	447.898	206.316	19.4977513674693
P	1	Frag	ceratozetoidea	685.134	411.161	19.4922470877821
P	2	10	parasitidae	793.786	350.639	19.4778797442025
P	1	humus	oripodidae	682.187	414.219	19.451007161767
P	2	10	omnivoro	4143.148	180.761	19.4439760860316
P	3	Frag	eremobelbidae	670.246	416.246	19.3932031821089
P	1	humus	ceratozetoidea	610.859	528.886	19.3822128738935
P	2	Frag	oripodidae	675.186	422.149	19.3748397179544
P	3	Frag	oribatulidae	636.877	441.218	19.3706644132618
L	3	humus	oripodidae	684.213	408.776	19.3326445292033
P	2	humus	ceratozetoidea	656.852	447.634	19.3163725624767
L	3	10	predador	4832.319	166.817	19.3144066024754
P	1	humus	oribatulidae	645.829	432.452	19.2647547275693
L	2	10	oripodidae	668.394	428.892	19.2513679577941
L	3	10	oripodidae	733.11	348.13	19.2345951601505
P	1	humus	oripodidae	682.627	408.441	19.2244402948679
L	1	Frag	onichiuridae	1728.368	419.023	19.2087717740004
L	2	Frag	astigmata	657.716	436.695	19.1924947119947
P	1	humus	scheloribates	699.663	384.97	19.156881544007
L	3	10	oripodidae	647.703	457.703	19.1504302737006
P	2	hoja	oripodidae	712.293	368.791	19.1083116969275
P	2	humus	scheloribates	660.442	437.038	19.1072126368491
P	2	humus	oripodidae	704.788	376.978	19.0755093849354
P	1	humus	oribatulidae	648.12	427.074	19.0390889480453
P	2	humus	oripodidae	695.515	387.107	19.0179381582765
P	3	hoja	oripodidae	757.565	318.814	18.9817982586005
L	1	humus	astigmata	793.402	358.885	18.9394056479625
P	1	Frag	isotomidae	1598.995	330	18.9101491346204
P	1	10	onichiuridae	1718.009	312.807	18.8938274661386
R	3	10	oripodidae	620.966	495.12	18.8648117398826
R	3	humus	uropodidae	675.896	503.54	18.8641133751674
L	2	humus	isotomidae	1596.788	357.853	18.8376786197128
L	2	Frag	oripodidae	663.853	424.756	18.808755652457
R	3	humus	oppioidea	685.004	395.605	18.7980168234389
P	2	Frag	hipogastruridae	1291.958	414.193	18.779473338601
L	1	10	onichiuridae	1712.879	445.511	18.7390851027667
P	3	humus	oripodidae	699.288	376.271	18.7329806608753
L	3	Frag	isotomidae	1593.437	271.525	18.7279833547917
R	3	Frag	hipogastruridae	1290.156	406.565	18.7127526694781
L	1	humus	oribatulidae	716.504	375.475	18.7037027096986
P	1	10	ceratozetoidea	654.311	435.133	18.6624000081347
L	1	humus	rhodacaroidea	844.338	284.839	18.6106524183707
R	1	Frag	parasitidae	750.596	381.164	18.5871133002223
P	2	Frag	astigmata	716.163	392.145	18.5439219528229
R	1	Frag	oripodidae	664.051	417.803	18.5338027165716
P	1	10	oppioidea	744.123	322.788	18.4965460380334
L	1	humus	scheloribates	690.941	380.804	18.4732795795981
P	1	Frag	isotomidae	1585.56	327.522	18.4717419678844
R	3	humus	galumnidae	602.538	454.488	18.4572152021752
R	1	humus	entomobridae	1494.252	395.599	18.4526869706561
P	2	humus	oripodidae	686.304	385.103	18.4062814260883
R	1	10	omnivoro	3055.059	204.607	18.3698553984282
P	2	humus	oripodidae	714.754	350.743	18.3690651826923
P	3	Frag	oribatulidae	607.048	449.031	18.3682659445036
L	3	humus	oribatulidae	605.628	449.902	18.3484218576666
R	3	Frag	scheloribates	649.253	434.697	18.3450439372626
P	1	humus	isotomidae	1581.136	285.235	18.3288176714932
P	3	Frag	oribatulidae	584.541	468.357	18.3277046557336
P	1	Frag	eremobelbidae	642.368	419.863	18.3240113747314
L	1	Frag	scheloribates	689.965	378.274	18.3049516340341
L	2	humus	isotomidae	1580.246	530.273	18.300150658986
P	1	humus	oripodidae	643.911	441.261	18.2840694628294
L	3	Frag	parasitidae	692.231	456.517	18.2619622838799
L	2	humus	hipogastruridae	1277.847	231.489	18.2608541244984
R	1	Frag	limnozetidae	693.211	374.035	18.226994248188
L	3	Frag	oripodidae	690.038	376.288	18.2195866726125
R	1	humus	oripodidae	716.676	345.221	18.2018349850142
P	1	humus	ceratozetoidea	653.943	424.046	18.1983676885583
P	1	humus	isotomidae	1575.61	328.148	18.1512887358561
R	1	humus	entomobridae	1483.631	342.159	18.1265330824403
P	1	humus	scheloribates	704.264	357.394	18.1240024675694
L	3	humus	hipogastruridae	1272.988	342.712	18.084311946793
P	3	humus	oripodidae	641.436	438.988	18.0505905776785
P	1	humus	onichiuridae	1689.24	352.169	18.0364570029171
R	1	humus	scheloribates	695.851	365.144	18.0306192557339
P	1	humus	oribatulidae	635.315	420.31	18.0260246398727
L	2	humus	hipogastruridae	1271.356	379.963	18.0252501845601
R	1	10	arctacaridae	728.118	395.862	18.0060070266512
P	1	humus	parasitidae	710.596	420.49	18.0021860897925
P	1	Frag	onichiuridae	1685.662	400.128	17.9315926972652
R	3	Frag	hipogastruridae	1268.498	335.803	17.9221024827358
L	1	Frag	onichiuridae	1684.968	327.936	17.9112979302873
P	1	humus	ceratozetoidea	663.35	403.544	17.9052684284808
L	2	10	fungivoro	4950.76	158.518	17.8679283532986
P	2	humus	oripodidae	689.772	367.447	17.8067921900808
P	3	10	scheloribates	650.375	418.944	17.7900623974964
R	3	humus	oppioidea	708.207	345.191	17.7537517293607
L	1	humus	parasitidae	741.796	370.898	17.7234093380806
L	2	Hoja	astigmata	694.776	392.428	17.7229220631869
P	1	humus	parasitidae	736.258	377.217	17.6973536139257
P	3	Frag	oripodidae	646.326	422.447	17.6958759647336
L	3	10	oripodidae	658.056	405.641	17.6929915552859
P	1	Frag	ceratozetoidea	671.526	387.375	17.6841295883781
R	3	Frag	galumnidae	660.668	396.214	17.682132298334
P	2	10	predador	4769.57	160.596	17.6682621957001
P	1	humus	oribatulidae	621.744	424.643	17.6581151743568
R	3	humus	hipogastruridae	1261.01	464.14	17.653558174245
R	2	Hoja	parasitidae	743.54	366.498	17.632956379263
P	3	Frag	oribatulidae	637.512	411.603	17.6035835180132
P	1	humus	isotomidae	1556.926	345.898	17.5592094828193
P	2	humus	scheloribates	695.047	355.602	17.5495633174032
P	2	Frag	scheloribates	694.996	355.58	17.5458625016681
P	1	humus	oripodidae	636.396	432.452	17.5094538481275
L	2	Hoja	scheloribates	666.644	389.415	17.5017786666985
L	3	humus	oripodidae	648.843	413.755	17.4985890472639
P	1	humus	scheloribates	658.236	400.039	17.4756271202144
L	3	Frag	isotomidae	1552.798	345.696	17.4300886988637
R	2	10	predador	3724.552	180.499	17.4288528347639
P	2	Frag	scheloribates	731.078	314.871	17.41837085232
L	3	Frag	parasitidae	696.684	424.536	17.4129364706969
L	2	humus	hipogastruridae	1254.021	333.571	17.4051296926186
P	1	humus	oribatulidae	663.534	389.77	17.4024389089776
P	1	humus	oripodidae	636.208	429.818	17.3995029261329
L	1	humus	astigmata	828.215	325.257	17.3990565393842
P	2	Frag	oripodidae	635.327	430.574	17.3775613136451
P	1	humus	oripodidae	661.102	393.571	17.3697100816203
P	2	humus	oribatulidae	630.957	412.52	17.3653131714727
P	2	10	oripodidae	680.254	368.877	17.359709999848
P	1	humus	parasitidae	789.6	309.777	17.3596570576156
P	1	10	fungivoro	6380.087	137.633	17.3586886669495
P	2	Frag	scheloribates	666.355	386.185	17.3510014247379
L	2	10	omnivoro	4286.562	167.832	17.3421848096641
L	1	humus	oripodidae	664.174	388.408	17.3247547549588
R	1	Frag	oripodidae	638.226	424.35	17.3077332300746
P	1	humus	oripodidae	637.454	425.315	17.3005153394669
P	1	humus	isotomidae	1546.903	361.128	17.2467539336916
L	2	humus	isotomidae	1546.879	395.448	17.2460100683468
R	2	10	fungivoro	4680.581	160.1	17.2316787570555
P	2	Frag	oribatulidae	677.08	378.084	17.231392956394
R	3	10	epilhomanioidea	730.654	311.267	17.2120003818808
P	1	humus	parasitidae	752.835	344.981	17.2000397644001
L	2	Hoja	scheloribates	682.196	362.56	17.185154849673
L	2	Frag	rhagididae	904.355	372.969	17.14785168471
L	2	Hoja	hipogastruridae	1246.292	501.021	17.132885345116
P	2	Frag	oribatulidae	602.588	430.184	17.0926390616166
P	2	humus	oripodidae	611.772	460.419	17.0908930954598
P	1	10	ceratozetoidea	633.168	426.102	17.0876458914297
L	1	humus	ceratozetoidea	661.274	386.389	17.0840265537769
P	3	Frag	oribatulidae	595.864	435.576	17.0800009245236
P	2	humus	oripodidae	666.678	379.236	17.077747121051
P	2	10	oripodidae	655.014	394.558	17.0768122080002
P	2	humus	ceratozetoidea	672.507	371.424	17.0578930801133
L	1	Frag	oripodidae	666.478	378.8	17.0487924520286
L	2	humus	isotomidae	1540.333	345.992	17.043886878296
L	2	Frag	astigmata	680.95	390.273	17.0419819033959
P	1	Frag	scheloribates	670.874	373.029	17.0396321094248
P	2	humus	oribatulidae	598.185	432.148	16.998830432115
R	3	humus	penthalidae	901.661	566.742	16.9950615723248
R	1	humus	oripodidae	678.546	361.276	16.9375695375017
P	1	humus	onichiuridae	1650.927	353.643	16.9336914870643
R	2	10	fungivoro	4129.318	168.962	16.9317393021013
P	3	humus	oripodidae	635.94	417.777	16.9308257217795
L	1	humus	rhodacaroidea	755.628	335.379	16.9275011798964
P	1	humus	onichiuridae	1649.877	351.282	16.9040906460929
P	1	humus	parasitidae	727.962	367.186	16.8962550181916
P	2	10	scheloribates	688.942	348.185	16.8944908251258
P	3	humus	oripodidae	660.47	381.72	16.8490621645109
L	2	10	fungivoro	3601.023	180.468	16.845017499554
L	1	humus	parasitidae	713.874	383.894	16.8378059466772
R	1	humus	arctacaridae	695.548	409.413	16.83287649509
P	1	humus	isotomidae	1531.971	270.155	16.7879053881453
R	3	10	entomobriidae	1438.412	396.207	16.7767658728118
P	1	humus	scheloribates	609.995	454.049	16.7686244886781
L	2	Hoja	symphyla	3646.659	571.195	16.7594281708667
P	1	humus	parasitidae	704.656	393.864	16.7433382348839
L	2	humus	parasitidae	724.948	366.814	16.7361209023684
P	2	10	scheloribates	623.025	431.805	16.726071996976
P	2	humus	oripodidae	609.907	452.941	16.7255216887739
R	1	humus	oripodidae	644.069	400.184	16.7043753553935
R	1	humus	oripodidae	644.069	400.184	16.7043753553935
P	2	humus	oppioidea	649.213	393.005	16.7008842389116
L	1	10	bacterivoro	5377.646	146.913	16.6708531149095
L	1	Frag	isotomidae	1527.553	420.121	16.6536594348571
R	3	Frag	oribatulidae	630.923	400.378	16.6525206998809
R	1	humus	oribatulidae	655.933	382.127	16.6135776228592
P	3	Frag	oripodidae	742.991	287.917	16.5780793553011
L	3	Frag	entomobridae	1431.544	509.515	16.577221966263
P	1	humus	parasitidae	680.295	424.528	16.5675219828922
P	3	humus	eviphididae	627.76	517.161	16.5315383036873
L	2	humus	isotomidae	1523.265	374.834	16.5240229062564
P	1	Frag	scheloribates	593.478	475.141	16.5165976106319
R	2	humus	oribatulidae	627.427	400.363	16.5024296537796
R	3	humus	oppioidea	695.07	332.768	16.5002793328568
P	2	humus	oripodidae	680.073	349.269	16.4907304586349
L	3	humus	scheloribates	632.167	411.294	16.4801137779573
L	2	10	oripodidae	661.504	371.197	16.4704327031502
R	1	humus	scheloribates	650.103	385.542	16.4527843058717
P	2	Frag	scheloribates	672.529	357.248	16.4527286440172
R	3	Frag	isotomidae	1520.413	448.998	16.4381589869346
P	2	humus	oribatulidae	620.654	403.135	16.3721978202729
L	1	Hoja	oripodidae	628.508	413.374	16.3579441295879
R	3	humus	epilhomanioidea	728.46	296.57	16.351825209459
L	2	10	fungivoro	3717.94	174.929	16.3407190924113
L	2	humus	isotomidae	1516.764	375.154	16.3287174472524
L	1	humus	parasitidae	716.422	365.617	16.2826132200041
P	1	humus	isotomidae	1514.943	336.765	16.274276628401
P	2	humus	ceratozetoidea	621.807	420.968	16.2686628040533
P	3	humus	oripodidae	601.839	452.789	16.2613662740123
L	3	10	oripodidae	660.53	367.032	16.2483801046635
L	1	10	onichiuridae	1626.133	395.658	16.2434835896496
P	2	humus	scheloribates	621.845	419.877	16.2315209808442
L	3	humus	scheloribates	714.814	306.856	16.2245500525531
L	1	Frag	scheloribates	708.207	313.269	16.2217626277843
L	1	10	omnivoro	7076.479	126.223	16.1934497798117
P	2	humus	oripodidae	650.678	378.119	16.18786948476
L	1	humus	scheloribates	619.809	421.715	16.1862659567913
P	2	Frag	scheloribates	623.05	416.529	16.1764391974961
P	2	humus	ceratozetoidea	615.835	427.489	16.1733772904563
L	3	Frag	isotomidae	1511.182	507.522	16.1622055607684
L	2	humus	isotomidae	1509.999	344.13	16.127056739172
R	1	Frag	oripodidae	643.855	385.58	16.125513279704
P	1	Frag	scheloribates	589.811	469.185	16.1138722416317
P	3	humus	oppioidea	691.687	327.188	16.0780225921189
R	1	10	fungivoro	4808.354	152.557	16.0733304660745
P	2	Frag	isotomidae	1506.667	321.109	16.0283208627015
P	2	humus	scheloribates	695.113	322.38	16.0227893979363
L	2	humus	isotomidae	1504.896	323.874	15.9759994242319
L	3	Frag	hipogastruridae	1212.036	282.551	15.9574897691008
L	3	Frag	hipogastruridae	1211.628	342.7	15.9437955872507
P	1	humus	scheloribates	678.046	338.243	15.906492771607
P	1	humus	parasitidae	707.481	366.805	15.9040750636565
L	1	humus	oripodidae	632.916	393.822	15.8672718585638
L	2	humus	hipogastruridae	1209.135	256.849	15.8602752856555
P	1	humus	scheloribates	614.117	421.011	15.8524989660162
P	1	humus	ceratozetoidea	614.117	421.011	15.8524989660162
P	2	humus	oripodidae	619.039	412.907	15.8304486101936
P	1	humus	onichiuridae	1610.1	473.357	15.8068501990365
L	3	Frag	oripodidae	646.289	373.449	15.777094915251
P	1	10	ceratozetoidea	620.763	408.803	15.7754970239776
R	3	humus	oppioidea	677.302	335.978	15.7711804657659
L	1	humus	parasitidae	654.34	440.794	15.7639894336209
P	2	humus	oripodidae	649.412	368.674	15.7472590925621
P	1	Frag	hipogastruridae	1205.538	441.609	15.7402384143587
P	2	Frag	oribatulidae	611.443	398.655	15.7323201768287
P	2	humus	scheloribates	616.872	413.391	15.7319808290825
P	2	Frag	rhodacaroidea	683.562	393.894	15.7138795426505
L	3	Frag	hipogastruridae	1204.054	431.311	15.6908767202855
L	2	humus	hipogastruridae	1203.88	266.718	15.6850952002738
P	2	humus	parasitidae	720.008	345.208	15.6784034261573
R	3	10	oppioidea	626.929	396.869	15.6670863586599
L	1	humus	oripodidae	652.734	362.138	15.6535063760697
P	3	Frag	oripodidae	597.43	441.306	15.6353613088386
L	1	10	omnivoro	5357.193	142.534	15.632174681337
P	2	Frag	onichiuridae	1602.775	399.555	15.6098790921663
L	3	Frag	isotomidae	1492.288	346.988	15.6066739671943
P	2	humus	oripodidae	602.173	432.588	15.6036686518209
L	1	humus	ceratozetoidea	632.022	387.698	15.5915500109084
L	3	humus	scheloribates	667.823	341.694	15.5555366118973
L	3	Frag	hipogastruridae	1199.854	349.252	15.551684224442
L	1	humus	scheloribates	630.458	388.495	15.5406728805351
P	1	humus	isotomidae	1487.764	278.872	15.4754984845544
P	2	Frag	scheloribates	683.486	322.4	15.468645429255
P	1	humus	parasitidae	673.028	400.944	15.4403978977662
P	1	humus	scheloribates	630.818	384.972	15.4279639666067
R	2	10	fungivoro	4328.804	157.493	15.421818732811
P	3	10	omnivoro	3440.848	176.423	15.382292100806
L	1	humus	scheloribates	657.856	348.756	15.3637990009614
L	1	humus	hipogastruridae	1191.388	333.464	15.2733996098177
P	1	humus	oripodidae	621.094	394.212	15.2681905174399
P	1	humus	parasitidae	665.984	405.672	15.2540539340577
L	3	Frag	hipogastruridae	1190.66	431.311	15.2496121339592
R	2	humus	scheloribates	619.862	395.274	15.2430523138703
P	3	Frag	oripodidae	632.456	377.657	15.237512154563
P	2	humus	scheloribates	695.783	304.03	15.2034640039295
P	3	10	omnivoro	4974.449	145.649	15.1567175512321
P	1	humus	oribatulidae	618.982	382.622	15.1515232314871
R	1	humus	oribatulidae	602.163	394.973	15.1492506604279
L	1	humus	astigmata	685.44	358.885	15.1417078135197
L	1	humus	isotomidae	1476.117	315.483	15.1410423327094
L	1	10	fungivoro	4421.001	154.278	15.1138035879542
P	2	Frag	oripodidae	610.235	404.635	15.0771050835819
R	3	humus	oppioidea	662.144	336.805	15.076920360461
P	1	humus	oripodidae	620.365	389.925	15.0766630084752
L	1	humus	ceratozetoidea	620.14	390.082	15.0708780312148
P	2	10	oripodidae	604.823	412.454	15.0647652145167
L	2	10	hipogastruridae	1184.255	373.664	15.0412984595912
L	1	humus	ceratozetoidea	619.589	389.561	15.0242191857302
P	1	humus	parasitidae	657.209	411.243	15.0079713579275
P	2	Frag	oribatulidae	577.738	411.513	15.0037938055333
L	2	Frag	parasitidae	680.478	375.152	14.9415091952914
L	2	humus	scheloribates	689.759	303.091	14.8867684944684
L	2	10	fungivoro	8176.27	112.585	14.8854322106241
R	1	humus	ceratozetoidea	628.051	374.084	14.8843766123123
P	1	humus	parasitidae	710.596	334.345	14.8488951924064
L	2	humus	uropodidae	609.353	489.97	14.8455879249111
L	3	10	oripodidae	728.326	267.055	14.8272157088205
P	2	humus	oripodidae	647.941	347.089	14.8176419775803
L	3	10	omnivoro	4242.843	155.769	14.7864590821457
P	1	humus	scheloribates	634.826	361.574	14.7479520163805
L	2	Frag	scheloribates	655.472	336.34	14.7421958619386
P	2	humus	oripodidae	628.32	369.806	14.7391967165014
L	2	humus	isotomidae	1461.14	394.839	14.7178132406099
L	1	humus	isotomidae	1460.918	275.299	14.7115975341049
L	1	humus	ceratozetoidea	618.269	382.507	14.7053558051971
L	1	10	hipogastruridae	1173.589	349.898	14.6982583642489
L	3	Frag	rhodacaroidea	702.341	339.931	14.6937460794494
P	2	humus	parasitidae	622.21	459.144	14.6839976562779
P	3	Frag	oripodidae	583.638	434.694	14.6828655984269
R	1	humus	arctacaridae	644.99	419.794	14.6823333029617
L	1	humus	ceratozetoidea	617.807	382.435	14.6798288533809
R	2	10	fungivoro	5272.52	139.169	14.6672403756781
R	1	humus	oripodidae	600.653	407.032	14.6668880144577
R	1	humus	oripodidae	600.653	407.032	14.6668880144577
R	1	10	oribatulidae	594.277	391.394	14.6413753569692
P	2	humus	scheloribates	621.149	376.568	14.6343543337766
R	3	humus	oripodidae	647.166	343.163	14.6250787478326
L	3	10	oripodidae	580.93	437.166	14.6177279306819
R	3	10	oppioidea	578.25	441.346	14.6058330824388
P	1	Frag	hipogastruridae	1169.837	315.789	14.5787285888847
R	3	humus	oripodidae	627.073	364.937	14.4983129064299
L	2	humus	hipogastruridae	1167.136	310.053	14.4930481700568
L	3	humus	oripodidae	610.195	387.774	14.4899750335304
P	1	humus	scheloribates	607.809	389.913	14.445522691676
P	1	Frag	onichiuridae	1557.933	481.29	14.4380697533143
R	1	humus	oribatulidae	586.712	393.238	14.4353099815021
P	1	humus	scheloribates	672.716	310.047	14.4296557401793
P	3	humus	bdelloidea	853.396	609.588	14.4093601110723
L	2	humus	oripodidae	612.686	381.932	14.4090166984951
L	1	humus	scheloribates	585.162	422.883	14.3897047730131
R	2	humus	scheloribates	625.842	362.826	14.3612002465054
P	3	Frag	oripodidae	612.686	380.521	14.359504240607
L	2	Frag	astigmata	680.036	348.918	14.328494706298
P	1	10	ceratozetoidea	607.649	386.449	14.3182536565139
P	3	humus	scheloribates	573.732	439.646	14.3168627678799
P	1	humus	onichiuridae	1553.105	266.601	14.3153591773922
L	2	10	fungivoro	4078.991	156.149	14.2848709774125
L	2	humus	hipogastruridae	1159.802	280.122	14.2619472554792
L	2	humus	isotomidae	1444.452	399.249	14.2552441034263
R	1	humus	entomobridae	1347.244	442.293	14.2434647566074
L	1	Frag	parasitidae	678.893	356.089	14.2315724160777
