Sitio	replica	estrato	UnidadTaxonómica	Largo	Ancho	body_mass
L	1	Hoja	pupa_diptero	11251.148	2415.638	9100.665106
L	1	Hoja	pupa_diptero	11122.172	2829.302	8996.259034
R	2	20	carabidae			8800
P	2	10	oniscoidea			8800
P	1	10	oniscoidea			8800
R	2	10	oniscoidea			8800
R	2	10	oniscoidea			8800
R	2	10	oniscoidea			8800
R	1	H	lycosidae			8800
L	1	10	diplopoda			8800
L	2	Hoja	pupa_diptero	10567.205	2234.978	8547.0132475
L	2	Hoja	pupa_diptero	10443.42	3085.333	8446.80929
P	2	10	oniscoidea			8400
P	2	10	oniscoidea			8400
P	2	H	oniscoidea			8400
P	1	H	oniscoidea			8400
P	1	H	oniscoidea			8400
P	1	20	oniscoidea			8400
P	1	10	oniscoidea			8400
R	2	10	oniscoidea			8400
R	2	10	oniscoidea			8400
R	2	10	oniscoidea			8400
R	2	10	oniscoidea			8400
P	2	H	linyphiidae			8400
R	3	H	juvenil			8400
R	3	H	lycosidae			8400
R	3	H	lycosidae			8400
L	3	H	diplopoda			8400
R	1	10	trogossitidae			8400
L	2	10	juvenil			8400
L	1	Hoja	pupa_diptero	10302.887	2645.386	8333.0478265
L	2	Hoja	pupa_diptero	10287.371	2962.294	8320.4876245
P	2	20	juvenil			8250
L	1	Hoja	pupa_diptero	10033.728	2276.104	8115.163616
R	3	10	juvenil			8100
L	2	Hoja	pupa_diptero	9976.649	2377.037	8068.9581655
L	1	Hoja	pupa_diptero	9973.302	2659.324	8066.248769
L	1	Hoja	pupa_diptero	9921.267	2518040	8024.1264365
P	1	20	blattodea			8000
R	2	10	oniscoidea			8000
R	2	10	oniscoidea			8000
R	3	H	oniscoidea			8000
R	3	H	oniscoidea			8000
R	3	H	oniscoidea			8000
L	2	H	larva_diptera			8000
R	3	10	lycosidae			8000
L	1	H	lycosidae			8000
R	3	10	pupadíptera			8000
R	2	10	juvenil			7650
P	1	10	blattodea			7600
P	3	10	carabidae			7600
R	2	H	oniscoidea			7600
R	3	10	oniscoidea			7600
R	3	H	oniscoidea			7600
R	3	H	oniscoidea			7600
R	1	10	oniscoidea			7600
P	2	10	juvenil			7600
P	2	20	larva_scarabidae			7600
P	2	H	staphylinidae			7600
P	1	H	tenebrionidae			7600
L	2	Hoja	pupa_diptero	9289.58	2844.911	7512.77581
L	2	Hoja	pupa_diptero	9264.822	3323.593	7492.734209
P	2	Frag	larva_coleoptero	9109.101	2649.376	7366.6780595
L	1	Hoja	pupa_diptero	9105.073	2312.09	7363.4173935
R	1	10	juvenil			7350
P	2	10	oniscoidea			7320
L	1	Hoja	pupa_diptero	9018.924	2433.363	7293.679778
