"litter" "carrion" "tej_veg" "hummus" "isoptera" "crotonioidea" "Octalasion lacteum" "Microscolex dubius" "Eukerria stagnalis" "brachychthonioidea" "oribatido" "alycidae" "ameroseidae" "anthribidae" "anystidae" "aphidoidea" "Aporrectodea caliginosa" "Aporrectodea rosea" "Aporrectodea trapezoides" "arctacaridae" "astigmata" "bac" "bdelloidea" "Bimastos beddardi sophiae" "Bimastos parvus" "blattodea" "carabidae" "ceratozetoidea" "cicadidae" "coccinelidae" "coleoptera_suctor" "cryptophagidae" "cunaxide" "dermanisoidea" "diplopoda" "diplura" "elateriforme" "embrioptera" "enchytraeida" "entomobridae" "epilhomanioidea" "eremobelbidae" "Eukerria halophila" "eupodoidea" "eupthiracaroidea" "eviphididae" "formicidae" "fungi" "galumnidae" "gasteropoda" "geophylomorpha" "Glossoscolex sp." "grillopalpidae" "hemiptero" "hipogastruridae" "ichtyostomatogasteridae" "isotomidae" "juvenil" "laelapidae" "larva_carabidae" "larva_coleoptero" "larva_curculionidae" "larva_diptera" "larva_elateridae" "larva_scarabidae" "larva_sciaridae" "larva_tenebrionidae" "limnozetidae" "linyphiidae" "lycosidae" "macropilina" "mesostigmata" "Microscolex phosphoreus" "nem_bacterivoro" "nem_fitofago" "nem_fungivoro" "nem_omnivor" "nem_predador" "nematomorpha" "Octalasion cyaneum" "Octolasion tyrtaeum" "ologamasidae" "onichiuridae" "oniscidea" "oppioidea" "oribatulidae" "oripodidae" "ortoptero" "parasitidae" "penthalidae" "proto" "protura" "pseudoscorpionida" "ptilidae" "pupa_diptera" "rhagidiidae" "rhodacarioidea" "scheloribatidae" "staphiliniidae" "symphyla" "symphypleona" "tardigrado" "tarsonemidae" "tenebrionidae" "teneriffidae" "terebrantia" "thysanoptera" "trogossitidae" "trombidiidae" "tydeioidea" "uropodoidea" "veigaioidea"
"fungi" 0.9 0.7 0.9 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"galumnidae" 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0.9 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0
"gasteropoda" 0.7 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"geophylomorpha" 0 0 0 0 0 0 0 0 0 0 0 0.9 0.9 0 0.9 0 0 0 0 0.9 0.9 0 0.9 0 0 0.7 0.7 0.9 0.7 0 0.7 0.7 0.9 0.9 0.7 0.9 0.7 0 0.4 0.9 0.9 0.9 0 0.9 0.9 0.9 0 0 0.9 0 0.1 0 0 0.7 0.9 0.9 0.9 0.4 0.9 0.7 0.4 0.4 0.4 0.4 0 0.4 0 0.9 0 0 0.9 0.9 0 0 0 0 0 0 0 0 0 0.9 0.9 0 0.9 0.9 0.9 0 0.9 0.9 0 0.9 0 0.7 0 0.9 0.9 0.9 0.7 0.9 0.9 0.9 0 0 0.9 0 0.7 0.7 0 0.9 0.9 0.9
"Glossoscolex sp." 0.9 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"grillopalpidae" 0 0.25 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0.7 0.7 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0.7 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0.7 0.7 0.7 0.7 0 0 0 0 0.7 0 0.7 0 0.7 0 0 0 0.7 0.7 0 0 0 0 0.7 0 0 0.7 0.7 0.7 0 0 0 0 0 0 0 0 0 0
"hemiptero" 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"hipogastruridae" 0 0.4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0.5 0.5 0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0
"ichtyostomatogasteridae" 0 0 0 0 0 0 0 0 0 0 0 0.5 0.5 0 0.5 0 0 0 0 0.5 0.7 0 0.5 0 0 0 0 0.4 0 0 0 0 0.5 0.5 0 0.7 0 0 0.5 0.7 0.4 0.4 0 0.5 0.4 0.5 0 0 0.4 0 0 0 0 0 0.7 0 0.7 0 0.5 0 0 0 0.1 0 0 0.1 0 0.4 0 0 0.4 0 0 0.9 0.9 0.9 0.9 0.9 0 0 0 0.5 0.7 0 0.4 0.4 0.4 0 0.5 0.5 0.9 0.7 0 0 0 0.5 0.5 0.4 0 0.7 0.7 0.9 0.5 0 0.5 0 0 0 0.5 0.5 0.5 0.5
"isotomidae" 0.4 0.4 0.4 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"juvenil" 0.9 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"laelapidae" 0 0 0 0 0 0 0 0 0 0 0 0.5 0.5 0 0.5 0 0 0 0 0.5 0.7 0 0.5 0 0 0 0 0.4 0 0 0 0 0.5 0.5 0 0.7 0 0 0.5 0.7 0.4 0.4 0 0.5 0.4 0.5 0 0 0.4 0 0 0 0 0 0.7 0.5 0.7 0 0 0 0 0 0.1 0 0 0.1 0 0.4 0 0 0.4 0 0 0.9 0.9 0.9 0.9 0.9 0 0 0 0.5 0.7 0 0.4 0.4 0.4 0 0.5 0.5 0.9 0.7 0 0 0 0.5 0.5 0.4 0 0.7 0.7 0.9 0.5 0 0.5 0 0 0 0.5 0.5 0.5 0.5
"larva_carabidae" 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0.7 0.7 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0.7 0 0.7 0 0 0 0 0 0.7 0 0 0.7 0 0 0 0 0 0 0 0.7 0.7 0.7 0.7 0.7 0 0 0 0 0.7 0 0.7 0 0.7 0 0 0 0.7 0.7 0 0 0 0 0.7 0.7 0 0.7 0 0.7 0 0 0 0 0 0 0 0 0 0
"larva_coleoptero" 0.7 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"larva_curculionidae" 0.7 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"larva_diptera" 0.7 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"larva_elateridae" 0.7 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"larva_scarabidae" 0.7 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"larva_sciaridae" 0.7 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"larva_tenebrionidae" 0.7 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"limnozetidae" 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"linyphiidae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0.9 0 0 0 0.5 0.5 0 0 0 0 0.9 0.9 0.5 0.9 0.9 0.9 0.9 0.5 0.5 0 0.5 0.9 0.9 0 0.5 0 0.5 0 0.5 0 0.5 0.9 0 0.5 0 0.9 0 0.9 0.9 0.5 0 0.5 0 0.5 0 0 0 0 0 0 0 0 0.5 0 0 0.5 0.5 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0.5 0.5 0.9 0.5 0.5 0 0 0 0.9 0 0 0 0 0.9 0.5 0.5 0 0 0 0 0.9 0.9 0.9 0.5 0.5 0.5 0.5
"lycosidae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0.9 0 0 0 0.5 0.5 0 0 0 0 0.9 0.9 0.5 0.9 0.9 0.9 0.9 0.5 0.5 0 0.5 0.9 0.9 0 0.5 0 0.5 0 0.5 0 0.5 0.9 0 0.5 0 0.9 0 0.9 0.9 0.5 0 0.5 0 0.5 0 0 0 0 0 0 0 0 0.5 0 0 0.5 0.5 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0.5 0.5 0.9 0.5 0.5 0 0 0 0.9 0 0 0 0 0.9 0.5 0.5 0 0 0 0 0.9 0.9 0.9 0.5 0.5 0.5 0.5
"macropilina" 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"mesostigmata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0.9 0.9 0.9 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0
"Microscolex phosphoreus" 0.9 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"nem_bacterivoro" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"nem_fitofago" 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"nem_fungivoro" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"nem_omnivor" 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0.7 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0
"nem_predador" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0.9 0.9 0.7 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0
"nematomorpha" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.4 0 0 0 0 0 0 0 0 0 0.4 0.7 0 0.4 0 0.7 0.7 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0.7 0 0 0 0 0 0 0 0.4 0.7 0 0 0 0
"Octalasion cyaneum" 0.9 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Octolasion tyrtaeum" 0.9 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ologamasidae" 0 0 0 0 0 0 0 0 0 0 0 0.5 0.5 0 0.5 0 0 0 0 0.5 0.7 0 0.5 0 0 0 0 0.4 0 0 0 0 0.5 0.5 0 0.7 0 0 0.5 0.7 0.4 0.4 0 0.5 0.4 0.5 0 0 0.4 0 0 0 0 0 0.7 0.5 0.7 0 0.5 0 0 0 0.1 0 0 0.1 0 0.4 0 0 0.4 0 0 0.9 0.9 0.9 0.9 0.9 0 0 0 0 0.7 0 0.4 0.4 0.4 0 0.5 0.5 0.9 0.7 0 0 0 0.5 0.5 0.4 0 0.7 0.7 0.9 0.5 0 0.5 0 0 0 0.5 0.5 0.5 0.5
"onichiuridae" 0.4 0.4 0.4 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"oniscidea" 0.7 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"oppioidea" 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"oribatulidae" 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"oripodidae" 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ortoptero" 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"parasitidae" 0 0 0 0 0 0 0 0 0 0 0 0.5 0.5 0 0.5 0 0 0 0 0.5 0.7 0 0.5 0 0 0 0 0.4 0 0 0 0 0.5 0.5 0 0.7 0 0 0.5 0.7 0.4 0.4 0 0.5 0.4 0.5 0 0 0.4 0 0 0 0 0 0.7 0.5 0.7 0 0.5 0 0 0 0.1 0 0 0.1 0 0.4 0 0 0.4 0 0 0.9 0.9 0.9 0.9 0.9 0 0 0 0.5 0.7 0 0.4 0.4 0.4 0 0 0.5 0.9 0.7 0 0 0 0.5 0.5 0.4 0 0.7 0.7 0.9 0.5 0 0.5 0 0 0 0.5 0.5 0.5 0.5
"penthalidae" 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0.5 0.7 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0.7 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0.7 0.7 0.7 0.7 0 0 0 0 0.4 0 0 0 0 0 0 0 0.7 0.7 0 0 0 0 0 0 0 0.7 0.4 0.7 0 0 0 0 0 0 0 0 0 0
"proto" 0 0 0.9 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"protura" 0.25 0.25 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"pseudoscorpionida" 0 0 0 0 0 0 0 0 0 0 0 0.7 0.7 0 0.7 0 0 0 0 0.7 0.7 0 0.7 0 0 0 0 0.7 0 0 0 0 0.7 0.7 0 0.7 0 0 0 0.7 0.7 0.7 0 0.7 0.7 0.7 0 0 0.7 0 0 0 0 0 0.7 0.7 0.7 0 0.7 0 0 0 0 0 0 0 0 0.7 0 0 0.7 0.7 0 0 0 0 0 0 0 0 0 0.7 0.7 0 0.7 0.7 0.7 0 0.7 0.7 0 0.7 0 0 0 0.7 0.7 0.7 0 0.7 0.7 0 0.7 0 0.7 0 0 0 0.7 0.7 0.7 0.7
"ptilidae" 0.7 0.25 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0.25 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"pupa_diptera" 0.7 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"rhagidiidae" 0 0 0 0 0 0 0 0 0 0 0 0.5 0.5 0 0.5 0 0 0 0 0.5 0.7 0 0.5 0 0 0 0 0.4 0 0 0 0 0.5 0.5 0 0.7 0 0 0.5 0.7 0.4 0.4 0 0.5 0.4 0.5 0 0 0.4 0 0 0 0 0 0.7 0.5 0.7 0 0.5 0 0 0 0.1 0 0 0.1 0 0.4 0 0 0.4 0 0 0.9 0.9 0.9 0.9 0.9 0 0 0 0.5 0.7 0 0.4 0.4 0.4 0 0.5 0.5 0.9 0.7 0 0 0 0 0.5 0.4 0 0.7 0.7 0.9 0.5 0 0.5 0 0 0 0.5 0.5 0.5 0.5
