"contraste" " valor estimado" "error estandar" "grados libertad" "razón t" "p.valor"
"34" "A microfitofago - G omnivoro" -1.02812477492722 0.332868750838785 994 -3.08867916359372 0.00925948064214484
"35" "A microfitofago - N omnivoro" -0.681314659319768 0.289470473689573 994 -2.35365856363785 0.0536484149471163
"36" "A microfitofago - A predador" 0.512452310729819 0.316011040831172 994 1.62162786901992 0.198377482897318
"37" "A microfitofago - G predador" 0.714177008741643 0.433171034670125 994 1.64871829273053 0.198377482897318
"38" "A microfitofago - N predador" 0.512452310729819 0.263962696586487 994 1.94138155639699 0.133254874478239
"39" "G microfitofago - N microfitofago" -0.0212100997423935 0.414759771031549 994 -0.0511382762355226 1
"40" "G microfitofago - A omnivoro" -1.14966630825992 1.02573862566622 994 -1.12081799348563 0.403115807527835
"41" "G microfitofago - G omnivoro" -1.14550996092126 0.489645755049631 994 -2.3394667453109 0.0536484149471163
"42" "G microfitofago - N omnivoro" -0.798699845313804 0.461242360686022 994 -1.73162726018024 0.178093993108574
"43" "G microfitofago - A predador" 0.395067124735784 0.478345417120672 994 0.825903438385238 0.519187797174702
"44" "G microfitofago - G predador" 0.596791822747608 0.562661981504292 994 1.06065780586787 0.405974549608851
"45" "G microfitofago - N predador" 0.395067124735784 0.445676637644783 994 0.88644342414615 0.495782808988427
"46" "N microfitofago - A omnivoro" -1.12845620851753 0.96737789880932 994 -1.16651022305396 0.382938297626694
"47" "N microfitofago - G omnivoro" -1.12429986117887 0.351330665270251 994 -3.20011878357965 0.00719513525817994
"48" "N microfitofago - N omnivoro" -0.77748974557141 0.310523406867067 994 -2.50380399151117 0.0391158539079405
"49" "N microfitofago - A predador" 0.416277224478178 0.335402160102562 994 1.24112863301442 0.345857794702051
"50" "N microfitofago - G predador" 0.618001922490002 0.447513995704548 994 1.38096669248756 0.276539329259843
"51" "N microfitofago - N predador" 0.416277224478178 0.286893597459884 994 1.45098122845486 0.248939454106042
"52" "A omnivoro - G omnivoro" 0.00415634733866241 1.00177207830759 994 0.00414899499463411 1
"53" "A omnivoro - N omnivoro" 0.350966462946118 0.988199801016881 994 0.355157390828216 0.808272947518489
"54" "A omnivoro - A predador" 1.54473343299571 0.996297480433902 994 1.55047409366423 0.210758980962512
"55" "A omnivoro - G predador" 1.74645813100753 1.03941466069559 994 1.68023234330635 0.192279297145112
"56" "A omnivoro - N predador" 1.54473343299571 0.981031088590443 994 1.57460191726971 0.206324146972936
"57" "G omnivoro - N omnivoro" 0.346810115607455 0.405156863429843 994 0.855989733634388 0.507565560779671
"58" "G omnivoro - A predador" 1.54057708565704 0.424525507800701 994 3.6289387971954 0.00246740561424317
"59" "G omnivoro - G predador" 1.74230178366887 0.517683372461807 994 3.36557416434581 0.00475842897168858
"60" "G omnivoro - N predador" 1.54057708565704 0.387343818894084 994 3.9772858388591 0.000822371750393571
"61" "N omnivoro - A predador" 1.19376697004959 0.39142490547554 994 3.04979819462251 0.00953199467788768
"62" "N omnivoro - G predador" 1.39549166806141 0.490904903190549 994 2.84269246241311 0.0158573501899182
